acause,cause_name,family,family_name
ckd,Chronic kidney disease,fam_ckd,Kidney diseases
ckd_NEC,"Kidney diseases, not elsewhere classified",fam_ckd,Kidney diseases
glomerulo,Acute glomerulonephritis,fam_ckd,Kidney diseases
renal_failure,Acute renal failure,fam_ckd,Kidney diseases
cong,Congenital birth defects,fam_cong,Congenital birth defects
cvd_NEC,"Cardiovascular diseases, not elsewhere classified",fam_cvd,Cardiovascular diseases
cvd_afib,Atrial fibrillation and flutter,fam_cvd,Cardiovascular diseases
cvd_aortic,Aortic aneurysm,fam_cvd,Cardiovascular diseases
cvd_cmp,Cardiomyopathy and myocarditis,fam_cvd,Cardiovascular diseases
cvd_endo,Endocarditis,fam_cvd,Cardiovascular diseases
cvd_hf,Heart Failure,fam_cvd,Cardiovascular diseases
cvd_htn,Hypertensive heart disease,fam_cvd,Cardiovascular diseases
cvd_ihd,Ischemic heart disease,fam_cvd,Cardiovascular diseases
cvd_other,Other cardiovascular and circulatory diseases,fam_cvd,Cardiovascular diseases
cvd_pah,Pulmonary Arterial Hypertension,fam_cvd,Cardiovascular diseases
cvd_pvd,Lower extremity peripheral arterial disease,fam_cvd,Cardiovascular diseases
cvd_rhd,Rheumatic heart disease,fam_cvd,Cardiovascular diseases
cvd_stroke,Stroke,fam_cvd,Cardiovascular diseases
cvd_valvu,Non-rheumatic valvular heart disease,fam_cvd,Cardiovascular diseases
diabetes_NEC,"Diabetes, not elsewhere classified",fam_diabetes,Diabetes
diabetes_typ1,Diabetes mellitus type 1,fam_diabetes,Diabetes
diabetes_typ2,Diabetes mellitus type 2,fam_diabetes,Diabetes
cirrhosis,Cirrhosis and other chronic liver diseases,fam_digest,Digestive diseases
digest_NEC,"Digestive diseases, not elsewhere classified",fam_digest,Digestive diseases
digest_appendicitis,Appendicitis,fam_digest,Digestive diseases
digest_bile,Gallbladder and biliary diseases,fam_digest,Digestive diseases
digest_hernia,"Inguinal, femoral, and abdominal hernia",fam_digest,Digestive diseases
digest_ibd,Inflammatory bowel disease,fam_digest,Digestive diseases
digest_ileus,Paralytic ileus and intestinal obstruction,fam_digest,Digestive diseases
digest_other,Other digestive diseases,fam_digest,Digestive diseases
digest_pancreatitis,Pancreatitis,fam_digest,Digestive diseases
digest_upper,Upper digestive system diseases,fam_digest,Digestive diseases
digest_vascular,Vascular intestinal disorders,fam_digest,Digestive diseases
endo,"Endocrine, metabolic, blood, and immune disorders",fam_endo,"Endocrine, metabolic, blood, and immune disorders"
_enteric_all,Enteric infections,fam_enteric,Enteric infections
_gc,Garbage code,fam_gc,Garbage code
gyne,Gynecological diseases,fam_gyne,Gynecological diseases
hemog,Hemoglobinopathies and hemolytic anemias,fam_hemog,Hemoglobinopathies and hemolytic anemias
_infect_agg,Other infectious diseases,fam_infect,Other infectious diseases
hepatitis_c,Acute hepatitis C,fam_infect,Other infectious diseases
infect_NEC,"Other infectious diseases, not elsewhere classified",fam_infect,Other infectious diseases
meningitis,Meningitis,fam_infect,Other infectious diseases
septicemia,Septicemia,fam_infect,Other infectious diseases
